Date,Time,Platform,Format,Asset,Action
June 29 2026,7:30 PM,Instagram feed,Square image,Main Sacred Journey image,Post launch caption and share to Stories
June 29 2026,7:30 PM,Facebook Page,Square image,Main Sacred Journey image,Post launch caption and pin until July 8
June 29 2026,7:45 PM,Facebook Event,Event update,Main Sacred Journey image,Post launch update if event exists
July 1 2026,9:00 AM,Instagram feed,Carousel,What This Evening Is For,Post carousel and share slides to Stories
July 1 2026,9:00 AM,Facebook Page,Carousel,What This Evening Is For,Post matching caption with registration link
July 3 2026,11:30 AM,Instagram reel,Short video,Laura speaking or props,Post reel with caption
July 3 2026,11:30 AM,Facebook reel,Short video,Laura speaking or props,Post reel with direct link in caption
July 6 2026,7:15 PM,Instagram feed,Image or text card,Main image or early bird card,Post early bird reminder
July 6 2026,7:15 PM,Facebook Page,Image or text card,Main image or early bird card,Post early bird reminder with direct link
July 6 2026,7:30 PM,Instagram Stories,Three frames,Early bird sequence,Use countdown sticker and link sticker
July 7 2026,8:30 AM,Instagram feed,Text card,Early bird final day card,Post early bird final day caption
July 7 2026,8:30 AM,Facebook Page,Text card,Early bird final day card,Post early bird final day caption with direct link
July 7 2026,9:00 AM,Instagram Stories,Single frame,Early bird final day card,Add link sticker
July 7 2026,1:00 PM,Instagram Stories,Single frame,Workshop detail card,Add link sticker
July 7 2026,7:30 PM,Instagram Stories,Single frame,Early bird closes tonight card,Add link sticker
July 9 2026,7:30 PM,Instagram feed,Detail graphic,Soft detail graphic,Post regular registration invitation
July 9 2026,7:30 PM,Facebook Page,Detail graphic,Soft detail graphic,Post regular registration invitation with direct link
July 12 2026,9:30 AM,Instagram feed,Carousel,From Crown To Root,Post carousel and share to Stories
July 12 2026,9:30 AM,Facebook Page,Carousel,From Crown To Root,Post carousel caption with direct link
July 15 2026,7:15 PM,Instagram feed,Photo,Props journal tea or fruit,Post what will be included caption
July 15 2026,7:15 PM,Facebook Page,Photo,Props journal tea or fruit,Post matching caption with direct link
July 15 2026,7:30 PM,Instagram Stories,Three frames,Behind the scenes details,Add link sticker
July 18 2026,10:00 AM,Instagram feed,Quote card or journal photo,Reflection prompt,Post reflection prompt caption
July 18 2026,10:00 AM,Facebook Page,Quote card or journal photo,Reflection prompt,Post reflection prompt caption with direct link
July 18 2026,10:15 AM,Instagram Stories,Four frames,Reflection question sequence,Use question sticker and link sticker
July 21 2026,8:30 AM,Instagram feed,Square image,Main Sacred Journey image,Post one week reminder
July 21 2026,8:30 AM,Facebook Page,Square image,Main Sacred Journey image,Post one week reminder and pin until workshop day
July 21 2026,8:45 AM,Facebook Event,Event update,Main Sacred Journey image,Post one week reminder with direct link
July 24 2026,12:00 PM,Instagram feed,Detail card or main image,Final weekend invitation,Post final weekend invitation
July 24 2026,12:00 PM,Facebook Page,Detail card or main image,Final weekend invitation,Post final weekend invitation with direct link
July 24 2026,12:15 PM,Local Facebook groups,Image post,Main image,Post local group copy only where allowed
July 26 2026,7:30 PM,Instagram Stories,Three frames,Two days reminder,Add link sticker if spaces remain
July 26 2026,7:30 PM,Facebook Stories,Three frames,Two days reminder,Add link sticker if spaces remain
July 27 2026,8:30 AM,Instagram feed,Main image or details card,Tomorrow evening,Post final practical reminder
July 27 2026,8:30 AM,Facebook Page,Main image or details card,Tomorrow evening,Post final practical reminder with direct link
July 27 2026,7:30 PM,Instagram Stories,Single frame,Tomorrow evening,Add link sticker if spaces remain
July 28 2026,9:00 AM,Instagram Stories,Three frames,Day of gathering,Use registration or gratitude version based on status
July 28 2026,9:00 AM,Facebook Stories,Three frames,Day of gathering,Use registration or gratitude version based on status
